max_depth,max_features,min_samples_leaf,min_samples_split,acc,bal_acc,f1,precision,generalization_score,time_init,time_final,score
8.0,0.6666666865348816,11.0,20.0,0.8753623188405797,0.880899830220713,0.8751924832233342,0.8780497284909049,0.8753623188405797,1746366131.2830153,1746366131.300195,0.8653658536585367
5.0,0.6666666865348816,9.0,80.0,0.8434782608695652,0.8519524617996603,0.8434721714772866,0.851585084660212,0.8434782608695652,1746366131.3011658,1746366131.3281114,0.838048780487805
50.0,0.3333333432674408,15.0,20.0,0.8782608695652173,0.8823429541595926,0.8779531883641474,0.8784873949579832,0.8782608695652173,1746366131.3301294,1746366131.3461425,0.8653658536585367
13.0,0.8888888955116272,3.0,3.0,0.8840579710144927,0.887011884550085,0.8836281637836116,0.8840644191747133,0.8840579710144927,1746366131.3474805,1746366131.3636353,0.9151219512195123
1.0,0.7777777910232544,15.0,80.0,0.8405797101449275,0.849320882852292,0.8405797101449276,0.849320882852292,0.8405797101449275,1746366131.3649604,1746366131.3809707,0.8390243902439025
13.0,0.2222222238779068,15.0,20.0,0.8927536231884057,0.8937181663837013,0.892033810347743,0.8933358197956477,0.8927536231884057,1746366172.755222,1746366172.772504,0.8546341463414635
20.0,0.0,15.0,20.0,0.9072463768115944,0.9021222410865875,0.905156588985544,0.9131171838372236,0.9072463768115944,1746366216.6809268,1746366216.6980836,0.822439024390244
32.0,0.0,15.0,20.0,0.9072463768115944,0.9021222410865875,0.905156588985544,0.9131171838372236,0.9072463768115944,1746366250.8912923,1746366250.9082885,0.822439024390244
20.0,0.0,17.0,20.0,0.9043478260869565,0.8988964346349745,0.9019929806794587,0.9105654986542286,0.9043478260869565,1746366288.5106936,1746366288.527596,0.8165853658536586
5.0,1.0,1.0,2.0,0.8666666666666667,0.8712224108658744,0.8663692775942947,0.8684836010571304,0.8666666666666667,1746366346.784852,1746366346.8014927,0.9004878048780489
13.0,0.0,13.0,32.0,0.9014492753623189,0.8968590831918506,0.8994022390637519,0.9060278118193403,0.9014492753623189,1746366394.98068,1746366394.9970384,0.8273170731707318
20.0,0.5555555820465088,17.0,128.0,0.8434782608695652,0.8519524617996604,0.8434721714772866,0.851585084660212,0.8434782608695652,1746366466.8227239,1746366466.8391237,0.8390243902439025
20.0,1.0,17.0,128.0,0.8405797101449275,0.849320882852292,0.8405797101449276,0.849320882852292,0.8405797101449275,1746366532.5147638,1746366532.5311668,0.8390243902439025
32.0,1.0,15.0,20.0,0.8869565217391304,0.8908319185059422,0.8866359070358439,0.8876994350156114,0.8869565217391304,1746366605.958337,1746366605.9745226,0.8653658536585367
5.0,0.1111111119389534,17.0,20.0,0.8985507246376812,0.8989813242784381,0.89776428687274,0.8989461990824975,0.8985507246376812,1746366666.115847,1746366666.132255,0.8487804878048781
20.0,1.0,15.0,80.0,0.8666666666666667,0.8730050933786078,0.8665282206572172,0.8715712756088393,0.8666666666666667,1746366733.8576157,1746366733.874111,0.8497560975609757
5.0,0.0,1.0,2.0,0.8985507246376812,0.8971986417657046,0.8974791278176506,0.8994027910464424,0.8985507246376812,1746366797.3841236,1746366797.4006503,0.8692682926829269
20.0,1.0,20.0,80.0,0.8666666666666667,0.8730050933786078,0.8665282206572172,0.8715712756088393,0.8666666666666667,1746366867.6254282,1746366867.6421912,0.8507317073170733
32.0,0.0,15.0,32.0,0.9043478260869566,0.8988964346349746,0.9019913909746216,0.91108183030187,0.9043478260869566,1746366925.5512366,1746366925.567618,0.8214634146341464
8.0,0.5555555820465088,17.0,50.0,0.8666666666666667,0.8730050933786078,0.8665666991725185,0.870221445662622,0.8666666666666667,1746366980.8127534,1746366980.8292735,0.8526829268292684
8.0,1.0,9.0,20.0,0.8927536231884058,0.8955008488964347,0.8922901521900891,0.8929932773682774,0.8927536231884058,1746367044.8977487,1746367044.9139235,0.8751219512195123
32.0,0.5555555820465088,13.0,20.0,0.872463768115942,0.8782682512733446,0.8723259725788508,0.8750678572002101,0.872463768115942,1746367109.1108418,1746367109.127367,0.8556097560975611
32.0,0.0,13.0,50.0,0.9014492753623189,0.8968590831918506,0.8994022390637519,0.9060278118193403,0.9014492753623189,1746367173.343264,1746367173.3599236,0.8234146341463415
50.0,0.0,17.0,128.0,0.8956521739130436,0.8886247877758914,0.8923045064083286,0.9056886523192038,0.8956521739130436,1746367208.145301,1746367208.1617038,0.8107317073170732
5.0,0.0,15.0,128.0,0.8956521739130436,0.8892190152801358,0.8925020171980247,0.9041503154433741,0.8956521739130436,1746367278.536401,1746367278.5532987,0.8107317073170732
50.0,0.0,15.0,20.0,0.9072463768115944,0.9021222410865875,0.905156588985544,0.9131171838372236,0.9072463768115944,1746367342.6715682,1746367342.6880155,0.822439024390244
5.0,0.0,15.0,20.0,0.9043478260869565,0.8988964346349745,0.9019929806794587,0.9105654986542286,0.9043478260869565,1746367382.1193755,1746367382.1360114,0.8214634146341464
13.0,1.0,3.0,32.0,0.8753623188405797,0.8797113752122241,0.8750661523328009,0.8767421389112566,0.8753623188405797,1746367433.9616635,1746367433.978629,0.8770731707317074
50.0,1.0,15.0,20.0,0.8869565217391304,0.8908319185059422,0.8866359070358439,0.8876994350156114,0.8869565217391304,1746367504.511559,1746367504.52815,0.8653658536585367
13.0,1.0,17.0,20.0,0.8869565217391304,0.8914261460101867,0.8867118770549332,0.8882842750122162,0.8869565217391304,1746367556.2851787,1746367556.301812,0.8595121951219513
