max_depth,max_features,min_samples_leaf,min_samples_split,acc,bal_acc,f1,precision,generalization_score,time_init,time_final,score
8.0,0.6666666865348816,11.0,20.0,0.7866666666666666,0.6353801169590643,0.6520463468605842,0.7060902292152291,0.7866666666666666,1746959990.5360763,1746959990.5490792,0.7856502242152466
5.0,0.6666666865348816,9.0,80.0,0.7813333333333333,0.62046783625731,0.6353559554472434,0.6969429259587842,0.7813333333333333,1746959990.550037,1746959990.561929,0.7874439461883409
50.0,0.3333333432674408,15.0,20.0,0.7786666666666666,0.6187134502923977,0.6334975209992602,0.6916773504273503,0.7786666666666666,1746959990.5631223,1746959990.5749693,0.7874439461883409
13.0,0.8888888955116272,3.0,3.0,0.776,0.6169590643274854,0.6303974557356731,0.6856240712024293,0.776,1746959990.5760598,1746959990.587816,0.8125560538116592
1.0,0.7777777910232544,15.0,80.0,0.76,0.5,0.4318181818181818,0.38,0.76,1746959990.588911,1746959990.600729,0.7623318385650224
50.0,0.0,15.0,20.0,0.7706666666666666,0.5944444444444444,0.6038644910583826,0.6721606244696675,0.7706666666666666,1746960038.9133005,1746960038.9258718,0.7856502242152467
20.0,0.0,20.0,50.0,0.7493333333333333,0.55,0.5410920740132302,0.5938841511281506,0.7493333333333333,1746960079.5710602,1746960079.5865786,0.7811659192825112
32.0,0.0,20.0,20.0,0.752,0.5555555555555556,0.5500568393488874,0.6099706702428388,0.752,1746960123.7380621,1746960123.7505326,0.7811659192825112
13.0,1.0,13.0,80.0,0.7786666666666666,0.6225146198830409,0.6371273663601247,0.6896413655788656,0.7786666666666666,1746960159.9583225,1746960159.970704,0.7829596412556054
13.0,0.0,20.0,20.0,0.752,0.5555555555555556,0.5500568393488874,0.6099706702428388,0.752,1746960195.5872962,1746960195.5995188,0.7811659192825112
13.0,0.0,20.0,50.0,0.7493333333333333,0.55,0.5410920740132302,0.5938841511281506,0.7493333333333333,1746960228.581172,1746960228.5980124,0.7811659192825112
1.0,0.0,15.0,20.0,0.76,0.5,0.4318181818181818,0.38,0.76,1746960258.7078695,1746960258.7206175,0.7623318385650224
13.0,0.8888888955116272,7.0,80.0,0.784,0.6260233918128655,0.6420469652853815,0.7023307595182594,0.784,1746960308.9338524,1746960308.9465003,0.7874439461883409
5.0,1.0,11.0,50.0,0.7786666666666668,0.6187134502923977,0.6328565878990222,0.6898200757575756,0.7786666666666668,1746960336.2789273,1746960336.2914014,0.7874439461883408
13.0,1.0,3.0,3.0,0.7733333333333333,0.6152046783625731,0.6277335682824412,0.6787932631216214,0.7733333333333333,1746960370.2378724,1746960370.2505748,0.8098654708520179
13.0,1.0,11.0,50.0,0.784,0.6298245614035087,0.6459095677652769,0.7011798271173271,0.784,1746960401.4577339,1746960401.473155,0.7865470852017937
3.0,1.0,5.0,3.0,0.7626666666666666,0.581578947368421,0.5858245389060609,0.646876705384168,0.7626666666666666,1746960447.7157373,1746960447.7345662,0.7883408071748879
3.0,0.0,1.0,2.0,0.7573333333333333,0.5210526315789473,0.4864362986819382,0.5923255407636074,0.7573333333333333,1746960487.9408221,1746960487.953498,0.7748878923766817
